0,1,2,3,4,6,8,9,10,12,16,18,24,36,40,48,60,72,96,120,168
,,,,0.78,,,,,,0.3,,,,0.22,,,,,,
,,,,,,,,,,,,2.75,,,2.5,,,,,
,,,,22.5,,62,,,,,,,,,,,,,,
,,,,,,,,,,,,4,,,6.25,,,,,
,,,,,,,,7.5,,,,,11,,,,,,,
,,,,,,,,,3.8,,,,4.7,,,,,,,
0,,,,,,,,,5,,,,6,,,,6.5,,,
,,,,,,,,,,,,4,5,,4.6,,,,,
125,,,,,,,,,,,,1125,,,500,,625,,,
0.003375,,,0.08,,0.75,,0.7,,1,,,1,,,1,,,,,
,,,,,,,,0.5,,,,,2.5,,,,,,,
,,,,,,,,,0.8,,,1.25,,,2,,,,,
0.25,,,,,50,,,,85,,,83,,,86,,62,,,0.3
0.25,,,,,58,,,,85,,,86,,,86,,63,,,0.3
,,,,,,,,,10,,,25,,,30,,,,,
,,,,0,,,,,,,,0.5,,,,,,,,
,,,,,,,,,,,,0.3,,,,,,,0,
