0,1,2,3,4,6,8,9,12,24,36,48,60,72,96,120,144,168,240
,,,,,,,,,,,2750,,,,,,,
0,,,,,,,,,100,,0,,500,,,,,
,,,,,,,,,,,0,,0,0,,0,,0
125,100,,,,125,,,,625,,1400,,1400,,,,,
0,,0,,0,,1900,,6750,10000,,6500,,900,250,,,0,
0,,,,,,,,,,,1300,,,,,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,50,,,,,,,,,
,,0,,200,,1000,,,2200,,2400,,,,,,,
0,,,,,,,,60,,500,,,,,,,,
0,,,,,,,,,1750,,500,,100,,,,,
,,,,,,,,,20,,,,,,,,,
,,,,,,,,,200,,,,,,,,,
,,,,,,,,,1250,,,,,,,,,
,,,,,,,,,,,,,25,,,,,
,,,,,,,,,,,200,,,,,,,
,,,,,80,,,,,,,,,,,,,
,,,,,,,,,1800,,,,,,,,,
0,,0,,150,,1400,,2900,3000,,1300,,250,100,,,150,
,,,,,,,,,25,,,,,,,,,
,,,,,,,,,30,,,,,,,,,
,,,,,875,,,,,,,,,,,,,
200,,,500,,550,,250,500,750,,200,,,,,,,
110,,,,,160,,,225,275,,325,,250,,,,150,
0,,,,,,,,4500,,2200,,200,,,,,,
75,,,,,,,,20,,20,,40,,,,,,
0,,,,,,,,,,,5500,,,500,,0,,0
,,,,,,,,,,,100,,120,40,,,,
,,,,,,,,,,,100,,110,110,175,,,
,,,,,,,,,,,,,22,,,,,
0,,,1250,,4600,,5000,5000,5000,,5000,,,,,,,
